4541h ,ENGARTS ,Engineering Arts 
4543h ,,EC Elettronica Srl 
4544h ,,Electronics Diversified LLC 
454Ch ,,Ingenieurbuero fuer Nachrichtentechnik in der Studio und Veranstaltungstechnik 
454Dh ,,"ELM Video Technology, Inc. "
454Eh ,,ENTTEC Pty Ltd 
4552h ,,EREA 
4553h ,,ERAL srl 
4554h ,,Entertainment Technology 
4563h ,,Les Éclairages Lou Inc. 
456Ch ,,Element Labs Inc. 
4631h ,,OKEROAB AB 
464Ch ,,Flashlight/Ampco Holding 
4656h ,,Flexvisual 
4658h ,,MagicFX B.V. 
4678h ,,Global Special Effects 
4744h ,,Goddard Design Co. 
4745h ,,GPE srl 
474Ch ,,G-LEC Europe GmbH 
4750h ,,DES 
4753h ,,Golden Sea Disco Light Manufacturer 
476Ch ,,General Luminaire (Shanghai) Ltd. 
4843h ,,Horizon Control Inc. 
4844h ,,HxDx 
4845h ,,Howard Eaton Lighting Ltd. 
484Ch ,,HBE Lighting Systems 
484Fh ,,Hollywood Controls Inc. 
4856h ,,Enfis Ltd 
4881h ,,Rena Electronica B.V. 
4941h ,,inoage GmbH 
4942h ,,IBEX UK Limited 
4944h ,,Ingham Designs 
4945h ,,Insta Elektro GmbH 
4947h ,,IGuzzini illuminazione spa 
4948h ,,Ice House Productions 
494Ch ,,I-Lum 
494Eh ,,"Interactive Technologies, Inc. "
4950h ,,"Interesting Products, Inc. "
4952h ,,Invisible Rival Incorporated 
4953h ,,Integrated System Technologies Ltd. 
4954h ,,"Integrated Theatre, Inc. "
4973h ,,Innovation Solutions Ltd. 
4A31h ,,Joshua 1 Systems Inc. 
4A41h ,,JANUS srl 
4A42h ,,JB-lighting GmbH 
4A48h ,,James Harris 
4A4Ch ,,Johnsson Lighting Technologies AB 
4A53h ,,JSC 'MFG' 
4A54h ,,James Thomas Engineering 
4A61h ,,Jands Pty Ltd. 
4ACCh ,,RVL techniek 
4B42h ,,KissBox 
4B46h ,,"Kino Flo, Inc. "
4B4Ch ,,KLH Electronics PLC 
4B4Dh ,,KMX Inc. 
4B55h ,,"kuwatec, Inc. "
4C20h ,,LAM32 srl 
4C41h ,,LaserAnimation Sollinger GmbH 
4C45h ,,"Leviton Manufacturing Co., Inc. "
4C47h ,,LightGeist Ltd. 
4C4Ch ,,LUMINEX Lighting Control Equipment bvba 
4C4Dh ,,Ultratec Special Effects 
4C50h ,,LightProcessor Ltd 
4C52h ,,High End Systems Inc. 
4C53h ,,"Licht-, Steuer- und Schaltanlagenbau GmbH (LSS GmbH) "
4C54h ,,Licht-Technik 
4C55h ,,LumenRadio AB 
